39.9	24681.5	NaN	1.000	NaN
49.9	24543	25031	0.994	1.014
60.0	24252	24428.5	0.983	0.990
70.0	24410	24630	0.989	0.998
80.0	24185	24492	0.980	0.992
89.9	24199	24594	0.980	0.996
99.9	23963	24407	0.971	0.989
119.8	23360	24379	0.946	0.988
139.8	23185	24308	0.939	0.985
159.7	22934	24026	0.929	0.973
179.6	22134	23943	0.897	0.970
199.6	21704	23809	0.879	0.965
224.7	20628	23983	0.836	0.972
249.5	20119	23151	0.815	0.938
