B [T],PIT [A],RRP [A]
12.00493051,592.0959836,640.8585296
12.30404823,560.4434006,600.2979008
13.00418092,489.9154977,520.0830277
13.50051911,444.2423075,465.926669
14.00014431,402.6053528,416.3022168
14.49976952,363.0927324,370.7564763
15.00432523,326.3417469,327.4767099
15.17130041,314.5607566,314.5607566
